CategoryID,CategoryLevel,CategoryName,CategoryParentID,CategoryNamePath,CategoryIDPath,LeafCategory
20081,1,Antiques,-1,Antiques,20081,FALSE
550,1,Art,-1,Art,550,FALSE
2984,1,Baby,-1,Baby,2984,FALSE
267,1,"Books, Comics & Magazines",-1,"Books, Comics & Magazines",267,FALSE
12576,1,"Business, Office & Industrial",-1,"Business, Office & Industrial",12576,FALSE
625,1,Cameras & Photography,-1,Cameras & Photography,625,FALSE
9800,1,"Cars, Motorcycles & Vehicles",-1,"Cars, Motorcycles & Vehicles",9800,FALSE
11450,1,"Clothes, Shoes & Accessories",-1,"Clothes, Shoes & Accessories",11450,FALSE
11116,1,Coins,-1,Coins,11116,FALSE
1,1,Collectables,-1,Collectables,1,FALSE
58058,1,Computers/Tablets & Networking,-1,Computers/Tablets & Networking,58058,FALSE
14339,1,Crafts,-1,Crafts,14339,FALSE
237,1,Dolls & Bears,-1,Dolls & Bears,237,FALSE
11232,1,"DVDs, Films & TV",-1,"DVDs, Films & TV",11232,FALSE
1305,1,Events Tickets,-1,Events Tickets,1305,FALSE
159912,1,Garden & Patio,-1,Garden & Patio,159912,FALSE
26395,1,Health & Beauty,-1,Health & Beauty,26395,FALSE
3252,1,Holidays & Travel,-1,Holidays & Travel,3252,FALSE
11700,1,"Home, Furniture & DIY",-1,"Home, Furniture & DIY",11700,FALSE
281,1,Jewellery & Watches,-1,Jewellery & Watches,281,FALSE
15032,1,Mobile Phones & Communication,-1,Mobile Phones & Communication,15032,FALSE
11233,1,Music,-1,Music,11233,FALSE
619,1,Musical Instruments,-1,Musical Instruments,619,FALSE
1281,1,Pet Supplies,-1,Pet Supplies,1281,FALSE
870,1,"Pottery, Porcelain & Glass",-1,"Pottery, Porcelain & Glass",870,FALSE
10542,1,Property,-1,Property,10542,FALSE
293,1,Sound & Vision,-1,Sound & Vision,293,FALSE
888,1,Sporting Goods,-1,Sporting Goods,888,FALSE
64482,1,Sports Memorabilia,-1,Sports Memorabilia,64482,FALSE
260,1,Stamps,-1,Stamps,260,FALSE
220,1,Toys & Games,-1,Toys & Games,220,FALSE
131090,1,Vehicle Parts & Accessories,-1,Vehicle Parts & Accessories,131090,FALSE
1249,1,Video Games & Consoles,-1,Video Games & Consoles,1249,FALSE
40005,1,Wholesale & Job Lots,-1,Wholesale & Job Lots,40005,FALSE
99,1,Everything Else,-1,Everything Else,99,FALSE
183062,2,3D Printers & Supplies,58058,Computers/Tablets & Networking:3D Printers & Supplies,58058:183062,FALSE
171485,2,Tablets & eBook Readers,58058,Computers/Tablets & Networking:Tablets & eBook Readers,58058:171485,TRUE
176970,2,Tablet & eBook Reader Accs,58058,Computers/Tablets & Networking:Tablet & eBook Reader Accs,58058:176970,FALSE
180235,2,Tablet & eBook Reader Parts,58058,Computers/Tablets & Networking:Tablet & eBook Reader Parts,58058:180235,TRUE
175672,2,Laptops & Netbooks,58058,Computers/Tablets & Networking:Laptops & Netbooks,58058:175672,FALSE
171957,2,Desktops & All-in-Ones,58058,Computers/Tablets & Networking:Desktops & All-in-Ones,58058:171957,FALSE
31530,2,Laptop & Desktop Accessories,58058,Computers/Tablets & Networking:Laptop & Desktop Accessories,58058:31530,FALSE
182094,2,Computer Cables & Connectors,58058,Computers/Tablets & Networking:Computer Cables & Connectors,58058:182094,FALSE
175673,2,Computer Components & Parts,58058,Computers/Tablets & Networking:Computer Components & Parts,58058:175673,FALSE
165,2,"Drives, Storage & Blank Media",58058,"Computers/Tablets & Networking:Drives, Storage & Blank Media",58058:165,FALSE
175698,2,"Enterprise Networking, Servers",58058,"Computers/Tablets & Networking:Enterprise Networking, Servers",58058:175698,FALSE
11176,2,Home Networking & Connectivity,58058,Computers/Tablets & Networking:Home Networking & Connectivity,58058:11176,FALSE
3676,2,"Keyboards, Mice & Pointers",58058,"Computers/Tablets & Networking:Keyboards, Mice & Pointers",58058:3676,FALSE
162497,2,"Monitors, Projectors & Accs",58058,"Computers/Tablets & Networking:Monitors, Projectors & Accs",58058:162497,FALSE
86722,2,"Power Protection, Distribution",58058,"Computers/Tablets & Networking:Power Protection, Distribution",58058:86722,FALSE
171961,2,"Printers, Scanners & Supplies",58058,"Computers/Tablets & Networking:Printers, Scanners & Supplies",58058:171961,FALSE
18793,2,Software,58058,Computers/Tablets & Networking:Software,58058:18793,FALSE
3516,2,Manuals & Resources,58058,Computers/Tablets & Networking:Manuals & Resources,58058:3516,TRUE
11189,2,Vintage Computing,58058,Computers/Tablets & Networking:Vintage Computing,58058:11189,FALSE
162,2,Other Computers & Networking,58058,Computers/Tablets & Networking:Other Computers & Networking,58058:162,TRUE
28009,2,Art Posters,550,Art:Art Posters,550:28009,TRUE
552,2,Art Drawings,550,Art:Art Drawings,550:552,TRUE
2211,2,Art Photographs,550,Art:Art Photographs,550:2211,TRUE
360,2,Art Prints,550,Art:Art Prints,550:360,TRUE
553,2,Art Sculptures,550,Art:Art Sculptures,550:553,TRUE
357,2,Folk Art & Indigenous Art,550,Art:Folk Art & Indigenous Art,550:357,TRUE
554,2,Mixed Media Art & Collage Art,550,Art:Mixed Media Art & Collage Art,550:554,TRUE
551,2,Paintings,550,Art:Paintings,550:551,TRUE
156196,2,Textile Art & Fiber Art,550,Art:Textile Art & Fiber Art,550:156196,TRUE
20158,2,Other Art,550,Art:Other Art,550:20158,TRUE
20394,2,Baby Bathing/Grooming,2984,Baby:Baby Bathing/Grooming,2984:20394,FALSE
53676,2,Baby Books,2984,Baby:Baby Books,2984:53676,FALSE
100982,2,Baby Carriers/Backpacks,2984,Baby:Baby Carriers/Backpacks,2984:100982,TRUE
45455,2,Baby Changing & Nappies,2984,Baby:Baby Changing & Nappies,2984:45455,FALSE
20400,2,Baby Feeding,2984,Baby:Baby Feeding,2984:20400,FALSE
66692,2,Car Seats & Accessories,2984,Baby:Car Seats & Accessories,2984:66692,FALSE
100978,2,Christening & Gifts,2984,Baby:Christening & Gifts,2984:100978,FALSE
3082,2,"Clothes, Shoes & Accessories",2984,"Baby:Clothes, Shoes & Accessories",2984:3082,FALSE
87167,2,Maternity/Pregnancy,2984,Baby:Maternity/Pregnancy,2984:87167,FALSE
20416,2,Nursery Bedding,2984,Baby:Nursery Bedding,2984:20416,FALSE
66697,2,Nursery Decoration & Furniture,2984,Baby:Nursery Decoration & Furniture,2984:66697,FALSE
37631,2,Potty Training,2984,Baby:Potty Training,2984:37631,TRUE
66698,2,"Pushchairs, Prams & Accs.",2984,"Baby:Pushchairs, Prams & Accs.",2984:66698,FALSE
20433,2,Safety,2984,Baby:Safety,2984:20433,FALSE
19068,2,Toys & Activities,2984,Baby:Toys & Activities,2984:19068,FALSE
134282,2,Walkers,2984,Baby:Walkers,2984:134282,TRUE
1261,2,Other Baby,2984,Baby:Other Baby,2984:1261,TRUE
121902,2,Aircraft & Aviation,9800,"Cars, Motorcycles & Vehicles:Aircraft & Aviation",9800:121902,TRUE
1293,2,Boats & Watercraft,9800,"Cars, Motorcycles & Vehicles:Boats & Watercraft",9800:1293,FALSE
121904,2,"Campers, Caravans & Motorhomes",9800,"Cars, Motorcycles & Vehicles:Campers, Caravans & Motorhomes",9800:121904,FALSE
9801,2,Cars,9800,"Cars, Motorcycles & Vehicles:Cars",9800:9801,FALSE
168693,2,Cars for Salvage,9800,"Cars, Motorcycles & Vehicles:Cars for Salvage",9800:168693,TRUE
29751,2,Classic Cars,9800,"Cars, Motorcycles & Vehicles:Classic Cars",9800:29751,FALSE
63732,2,Commercial Vehicles,9800,"Cars, Motorcycles & Vehicles:Commercial Vehicles",9800:63732,FALSE
422,2,Motorcycles & Scooters,9800,"Cars, Motorcycles & Vehicles:Motorcycles & Scooters",9800:422,FALSE
35576,2,Motorcycles for Salvage,9800,"Cars, Motorcycles & Vehicles:Motorcycles for Salvage",9800:35576,TRUE
36626,2,Disabled Vehicles,9800,"Cars, Motorcycles & Vehicles:Disabled Vehicles",9800:36626,TRUE
122305,2,Emergency Vehicles,9800,"Cars, Motorcycles & Vehicles:Emergency Vehicles",9800:122305,TRUE
122306,2,Go-Karts,9800,"Cars, Motorcycles & Vehicles:Go-Karts",9800:122306,TRUE
181476,2,Golf Buggies,9800,"Cars, Motorcycles & Vehicles:Golf Buggies",9800:181476,TRUE
122307,2,Military Vehicles,9800,"Cars, Motorcycles & Vehicles:Military Vehicles",9800:122307,TRUE
9883,2,Other Vehicles,9800,"Cars, Motorcycles & Vehicles:Other Vehicles",9800:9883,TRUE
112425,2,Dancewear & Accessories,11450,"Clothes, Shoes & Accessories:Dancewear & Accessories",11450:112425,FALSE
179310,2,Erotic Clothing,11450,"Clothes, Shoes & Accessories:Erotic Clothing",11450:179310,FALSE
